phase,fold,partition,model,architecture,lookback_days,station_set,seed,horizon_days,n,MAE_m,RMSE_m,bias_m,NSE,KGE,MAE_skill_vs_persistence
E4,B,validation,tcn_gru,tcn_gru,60,S0,42,14,62,1.2334609919209636,1.4657631532320474,-0.1495405434793044,0.4198570368834488,0.5325315090036981,-0.0155986918871147
E4,C,validation,persistence,tcn_gru,60,S0,42,1,277,0.2017328519855595,0.3289793866233942,0.0015884476534296,0.9553548841246552,0.977644622149306,0.0
E4,C,validation,persistence,tcn_gru,60,S0,42,3,277,0.4883032490974729,0.7602840054565587,0.0063537906137184,0.7632174971887316,0.8810335904786388,0.0
E4,C,validation,persistence,tcn_gru,60,S0,42,5,277,0.6615162454873647,1.0256705123966467,0.0128519855595667,0.573753852715045,0.7846299942664365,0.0
E4,C,validation,persistence,tcn_gru,60,S0,42,7,277,0.8051263537906137,1.1816325975817823,0.0224548736462093,0.4422828632477958,0.7160880484096872,0.0
E4,C,validation,persistence,tcn_gru,60,S0,42,14,277,1.0539350180505416,1.3963635081637618,0.0540794223826714,0.2545565946429161,0.6117319928666797,0.0
E4,C,validation,tcn_gru,tcn_gru,60,S0,42,1,277,0.2734346558600125,0.4233408757419699,0.0054096051630989,0.9260706327469,0.95508545082219,-0.3554294859202485
E4,C,validation,tcn_gru,tcn_gru,60,S0,42,3,277,0.5503666501699372,0.8542557462015238,-0.0064191419295027,0.7010670993849463,0.8283308685083649,-0.1271001190083736
E4,C,validation,tcn_gru,tcn_gru,60,S0,42,5,277,0.6855494081414563,1.0567238196621611,0.0075925769100118,0.5475529918835971,0.743587373762818,-0.0363304194236158
E4,C,validation,tcn_gru,tcn_gru,60,S0,42,7,277,0.8536936990577821,1.1867581990894842,0.0685530469004426,0.437433918159464,0.6634226166811675,-0.060322637606518
E4,C,validation,tcn_gru,tcn_gru,60,S0,42,14,277,1.0314592493268986,1.3256417837688366,0.051338866630616,0.3281534913772447,0.5419312017010851,0.0213255735303455
E4,D,validation,persistence,tcn_gru,60,S0,42,1,38,0.1092105263157894,0.1596295052531593,-0.0413157894736842,0.988528531674252,0.9335148117583818,0.0
E4,D,validation,persistence,tcn_gru,60,S0,42,3,38,0.3934210526315789,0.6895250081339365,-0.2313157894736842,0.8749430857522572,0.6938786191304969,0.0
E4,D,validation,persistence,tcn_gru,60,S0,42,5,38,0.763421052631579,1.4973160198027318,-0.5334210526315789,0.6943618334124293,0.4637963624621306,0.0
E4,D,validation,persistence,tcn_gru,60,S0,42,7,38,1.0628947368421056,2.0221139277602798,-0.7876315789473683,0.5998455208780628,0.3596621227770213,0.0
E4,D,validation,persistence,tcn_gru,60,S0,42,14,38,0.8089473684210525,1.4211300173860906,-0.4342105263157892,0.6755194553023375,0.5107948872403254,0.0
E4,D,validation,tcn_gru,tcn_gru,60,S0,42,1,38,0.1205753676044313,0.1671275627342336,0.0078231744232928,0.9874255547386516,0.9470163568040348,-0.1040636069803349
E4,D,validation,tcn_gru,tcn_gru,60,S0,42,3,38,0.4194207332636179,0.6732714318610268,-0.1070009632487047,0.8807693152572945,0.6995537725427469,-0.0660861447503331
E4,D,validation,tcn_gru,tcn_gru,60,S0,42,5,38,0.7855673508267653,1.4557804340988958,-0.3630662234205949,0.7110834636075103,0.4835942858056532,-0.0290092840888342
E4,D,validation,tcn_gru,tcn_gru,60,S0,42,7,38,1.1305004811286925,2.0366507446846622,-0.560782625110526,0.5940714829256515,0.3663056670382271,-0.0636053053451424
E4,D,validation,tcn_gru,tcn_gru,60,S0,42,14,38,0.983737688315542,1.4590051107060575,-0.065464731078399,0.6579932613901075,0.4902564293287507,-0.2160713128168707
E4,A,validation,persistence,tcn_gru,60,S1,42,1,286,0.2124825174825175,0.2896688487877872,-0.0056993006993007,0.984638332245271,0.9919254811489544,0.0
E4,A,validation,persistence,tcn_gru,60,S1,42,3,286,0.5437062937062938,0.7305955995418602,-0.0162937062937062,0.9013620988069022,0.9504747375016004,0.0
E4,A,validation,persistence,tcn_gru,60,S1,42,5,286,0.7651048951048952,1.009260616989979,-0.027062937062937,0.8097953313113505,0.905250930028134,0.0
E4,A,validation,persistence,tcn_gru,60,S1,42,7,286,0.9112237762237764,1.1668409626713625,-0.0383566433566433,0.7427657800511018,0.87246174168187,0.0
E4,A,validation,persistence,tcn_gru,60,S1,42,14,286,1.041258741258741,1.407014892988311,-0.0859440559440559,0.6044994670145496,0.8063844268516253,0.0
E4,A,validation,tcn_gru,tcn_gru,60,S1,42,1,286,0.1913050825737571,0.2421290695251962,0.0261889286349699,0.989266814201689,0.9854117120211674,0.0996667168653193
E4,A,validation,tcn_gru,tcn_gru,60,S1,42,3,286,0.5016782643661631,0.6471699906670971,0.0369262289584095,0.922602584226264,0.9579586620192468,0.0772991407799187
E4,A,validation,tcn_gru,tcn_gru,60,S1,42,5,286,0.723326320214705,0.9453416189968392,0.0068065663817875,0.8331246936764324,0.910462033636666,0.0546050288757626
E4,A,validation,tcn_gru,tcn_gru,60,S1,42,7,286,0.8692216707526387,1.1152124571216884,-0.0312755246845995,0.7650255549960572,0.8705677961250116,0.0460941719993298
E4,A,validation,tcn_gru,tcn_gru,60,S1,42,14,286,0.9419904200763968,1.2494145533818886,-0.0404579707042324,0.6881377520158192,0.8059929412530823,0.0953349222906329
E4,B,validation,persistence,tcn_gru,60,S1,42,1,62,0.2145161290322579,0.3655530498546886,-0.032258064516129,0.9309945027872958,0.9566694431455778,0.0
E4,B,validation,persistence,tcn_gru,60,S1,42,3,62,0.5146774193548387,0.7111655585114504,-0.1204838709677419,0.7705239603978722,0.8478328815108065,0.0
E4,B,validation,persistence,tcn_gru,60,S1,42,5,62,0.6679032258064516,0.8785554492571057,-0.2137096774193548,0.6906662769398197,0.774411348917677,0.0
E4,B,validation,persistence,tcn_gru,60,S1,42,7,62,0.8017741935483871,1.052313120333395,-0.2701612903225806,0.5985952285682989,0.7055399863549991,0.0
E4,B,validation,persistence,tcn_gru,60,S1,42,14,62,1.214516129032258,1.5788021183898435,-0.626774193548387,0.3269259768834424,0.5049468732195747,0.0
E4,B,validation,tcn_gru,tcn_gru,60,S1,42,1,62,0.3183304360220508,0.4237086672060309,0.1811136351093167,0.9072919253258848,0.9009142479161616,-0.4839463934862524
E4,B,validation,tcn_gru,tcn_gru,60,S1,42,3,62,0.6045702546258127,0.8220496043515293,0.126958192048534,0.6933860120196276,0.7798221594771432,-0.1746585956377433
E4,B,validation,tcn_gru,tcn_gru,60,S1,42,5,62,0.702070166833939,0.9064520186254929,0.1181045248431542,0.6707099894919331,0.7438116763159939,-0.0511555262908529
E4,B,validation,tcn_gru,tcn_gru,60,S1,42,7,62,0.8263825108735791,1.0608100823805249,0.1158468955755231,0.5920867263499802,0.6830756528975415,-0.030692328991388
E4,B,validation,tcn_gru,tcn_gru,60,S1,42,14,62,1.2417163321664255,1.479228047253607,-0.0558004488483554,0.4091493818865094,0.5425759550227365,-0.0223959175872294
E4,C,validation,persistence,tcn_gru,60,S1,42,1,277,0.2017328519855595,0.3289793866233942,0.0015884476534296,0.9553548841246552,0.977644622149306,0.0
E4,C,validation,persistence,tcn_gru,60,S1,42,3,277,0.4883032490974729,0.7602840054565587,0.0063537906137184,0.7632174971887316,0.8810335904786388,0.0
E4,C,validation,persistence,tcn_gru,60,S1,42,5,277,0.6615162454873647,1.0256705123966467,0.0128519855595667,0.573753852715045,0.7846299942664365,0.0
E4,C,validation,persistence,tcn_gru,60,S1,42,7,277,0.8051263537906137,1.1816325975817823,0.0224548736462093,0.4422828632477958,0.7160880484096872,0.0
E4,C,validation,persistence,tcn_gru,60,S1,42,14,277,1.0539350180505416,1.3963635081637618,0.0540794223826714,0.2545565946429161,0.6117319928666797,0.0
E4,C,validation,tcn_gru,tcn_gru,60,S1,42,1,277,0.2589879987429195,0.3789418193989203,0.0604527820533791,0.9407645552813314,0.9020829127419046,-0.2838166723655817
