phase,fold,partition,model,architecture,lookback_days,station_set,seed,horizon_days,n,MAE_m,RMSE_m,bias_m,NSE,KGE,MAE_skill_vs_persistence
E4,A,validation,lstm,lstm,7,S4,42,5,339,0.3847354405327179,0.558456289203318,-0.08855313609835,0.945482761876378,0.9619531372932274,0.4445732291091415
E4,A,validation,lstm,lstm,7,S4,42,7,339,0.5772621829249515,0.8020249009937664,-0.0886949812135165,0.8874911847441647,0.9336336181744632,0.3019480630250463
E4,A,validation,lstm,lstm,7,S4,42,14,339,0.9057374725405094,1.192578051877425,-0.049987863766409,0.7508248519114921,0.8373087933715972,0.0649989244762851
E4,B,validation,persistence,lstm,7,S4,42,1,248,0.1243951612903225,0.2607147433870107,-0.005766129032258,0.9483810138318794,0.9740368139087928,0.0
E4,B,validation,persistence,lstm,7,S4,42,3,248,0.3029838709677419,0.5058671889965051,-0.0237903225806451,0.8120772026011669,0.9029249233668728,0.0
E4,B,validation,persistence,lstm,7,S4,42,5,248,0.4220564516129032,0.6574888077055491,-0.05375,0.7008523697243263,0.8371709420862626,0.0
E4,B,validation,persistence,lstm,7,S4,42,7,248,0.5185887096774194,0.7929103699906501,-0.0788306451612903,0.5868190167967169,0.7690845878458511,0.0
E4,B,validation,persistence,lstm,7,S4,42,14,248,0.7951612903225806,1.1535614557786094,-0.1523387096774193,0.2621769665025574,0.5579556510350769,0.0
E4,B,validation,lstm,lstm,7,S4,42,1,248,0.3394347449896795,0.4314761918224978,0.2512999055510565,0.8586187027665413,0.8298092916908242,-1.7286812563189806
E4,B,validation,lstm,lstm,7,S4,42,3,248,0.3226065360682625,0.4831575167353757,0.1314408880039567,0.8285711442012007,0.8820316536432918,-0.0647647184579334
E4,B,validation,lstm,lstm,7,S4,42,5,248,0.3375148114898512,0.561662328566221,0.0282134341809055,0.7816971374468352,0.8730605681250816,0.2003088444684904
E4,B,validation,lstm,lstm,7,S4,42,7,248,0.3883600217680776,0.640226168351723,-0.0080955670485575,0.7306239552137965,0.8287195837378288,0.2511213327230912
E4,B,validation,lstm,lstm,7,S4,42,14,248,0.7190320314058373,1.0120847135471454,0.0304887541095093,0.4320573718185295,0.6021820282216831,0.0957406501589875
E4,C,validation,persistence,lstm,7,S4,42,1,330,0.1891515151515151,0.3073493718289276,-0.0029696969696969,0.959911792780242,0.9798244307364145,0.0
E4,C,validation,persistence,lstm,7,S4,42,3,330,0.4552424242424243,0.7100335032641599,-0.0053636363636363,0.7852397303414277,0.8930132113966438,0.0
E4,C,validation,persistence,lstm,7,S4,42,5,330,0.6125151515151516,0.9569631575188696,-0.004090909090909,0.6110682050055247,0.8060982752263691,0.0
E4,C,validation,persistence,lstm,7,S4,42,7,330,0.7505151515151515,1.1050705448481146,-0.0023333333333333,0.483119958854411,0.7418950973007561,0.0
E4,C,validation,persistence,lstm,7,S4,42,14,330,1.0006060606060605,1.3274779002897092,0.0052727272727272,0.2642132349054814,0.6300545017391028,0.0
E4,C,validation,lstm,lstm,7,S4,42,1,330,0.3222294983827705,0.4166275567783086,0.2065479180993454,0.9263372447928098,0.8777307858531386,-0.7035522984029843
E4,C,validation,lstm,lstm,7,S4,42,3,330,0.384316095955444,0.5101125701259285,0.1894819259246188,0.8891518859768789,0.8928871184148841,0.1557990303847666
E4,C,validation,lstm,lstm,7,S4,42,5,330,0.4435578159780213,0.6450711952733447,0.1336166384581362,0.8232748695261198,0.87348689062199,0.2758418875340275
E4,C,validation,lstm,lstm,7,S4,42,7,330,0.5703427949168465,0.8552163675351433,0.0986913631106866,0.6904279348577638,0.8088049538022177,0.2400649157243132
E4,C,validation,lstm,lstm,7,S4,42,14,330,0.8958932512384472,1.187984470232577,0.0946873477588998,0.4107238024480187,0.63083985438264,0.1046493854976147
E4,D,validation,persistence,lstm,7,S4,42,1,234,0.1352991452991453,0.1942506971244462,-0.004017094017094,0.988675674916876,0.988885874209326,0.0
E4,D,validation,persistence,lstm,7,S4,42,3,234,0.3557692307692307,0.521439903200333,-0.0338034188034188,0.9251265399330448,0.935137646498074,0.0
E4,D,validation,persistence,lstm,7,S4,42,5,234,0.5014102564102564,0.8370912703354365,-0.0941452991452991,0.8363559782105248,0.8450524304596944,0.0
E4,D,validation,persistence,lstm,7,S4,42,7,234,0.5938034188034188,1.0568763441564992,-0.15508547008547,0.770580419701027,0.7780587904889756,0.0
E4,D,validation,persistence,lstm,7,S4,42,14,234,0.8580769230769232,1.4723783016765304,-0.2723504273504273,0.6275607758642705,0.6677016947579437,0.0
E4,D,validation,lstm,lstm,7,S4,42,1,234,0.3047644963835038,0.3703511425917661,0.2663635234445586,0.9588362877571248,0.8953601203605919,-1.252523441368916
E4,D,validation,lstm,lstm,7,S4,42,3,234,0.3235112111283162,0.4242864604813426,0.1991963190196923,0.9504278534995004,0.9242866181475246,0.0906711903420298
E4,D,validation,lstm,lstm,7,S4,42,5,234,0.372749889549027,0.6336734886442971,0.1071808309840338,0.9062253193197124,0.9124275247583322,0.2565969985982073
E4,D,validation,lstm,lstm,7,S4,42,7,234,0.4908696799859021,0.869239097058503,0.0507772693318177,0.8448111087386163,0.8530206092134558,0.1733464907038423
E4,D,validation,lstm,lstm,7,S4,42,14,234,0.846621722981461,1.362705771819517,-0.0333086580292793,0.680977887333113,0.6997565718914421,0.0133498521955184
E4,A,validation,persistence,lstm,7,S4-CSA,42,1,339,0.1912979351032448,0.2687911318596126,-2.9498525073744373e-05,0.9873645540574166,0.9936823037926572,0.0
E4,A,validation,persistence,lstm,7,S4-CSA,42,3,339,0.4901474926253687,0.6782864928418385,0.0007669616519174,0.9195637660378804,0.9597752751667183,0.0
E4,A,validation,persistence,lstm,7,S4-CSA,42,5,339,0.6926843657817109,0.9382296767069817,0.0011209439528023,0.8461229664930505,0.9230431156408132,0.0
E4,A,validation,persistence,lstm,7,S4-CSA,42,7,339,0.8269616519174042,1.0860846840845098,5.899705014750185e-05,0.7936814744224164,0.8968471930114787,0.0
E4,A,validation,persistence,lstm,7,S4-CSA,42,14,339,0.9687020648967553,1.3155530931904458,-0.0028613569321533,0.6967869699175451,0.848525942517584,0.0
E4,A,validation,lstm,lstm,7,S4-CSA,42,1,339,0.1775382773046297,0.2534256141810095,-0.0297010786519293,0.9887678804491524,0.9551977533815288,0.0719278950459604
E4,A,validation,lstm,lstm,7,S4-CSA,42,3,339,0.2549652159249185,0.3602205181165059,-0.0536409917412258,0.9773137724316387,0.9742203469638616,0.4798194017901578
E4,A,validation,lstm,lstm,7,S4-CSA,42,5,339,0.4687241473591784,0.6324258763012981,-0.0499775121978606,0.9300842958396172,0.9621485931418864,0.3233221788827123
E4,A,validation,lstm,lstm,7,S4-CSA,42,7,339,0.6772302261496013,0.9019233843982928,-0.0492369580409523,0.8577179410738662,0.923911080787458,0.1810621150577341
E4,A,validation,lstm,lstm,7,S4-CSA,42,14,339,0.9197354693047064,1.2033345323190006,-0.0624991713090636,0.7463097011004249,0.8399412328596708,0.0505486644103184
E4,B,validation,persistence,lstm,7,S4-CSA,42,1,248,0.1243951612903225,0.2607147433870107,-0.005766129032258,0.9483810138318794,0.9740368139087928,0.0
