fold,station_set,seed,model,horizon_days,threshold_name,threshold_m,hits,misses,false_alarms,POD_recall,FAR,CSI,F1,event_count,mean_peak_magnitude_error_m,mean_absolute_peak_timing_error_days,evidence_class
final_period,S0,72,lstm,10,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.6851805973052985,3.5,exploratory
final_period,S0,72,lstm,11,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,72,lstm,11,train_q90,8.309000000000006,46,14,7,0.7666666666666667,0.1320754716981132,0.6865671641791045,0.8141592920353983,1,-0.45385412216186793,11.0,exploratory
final_period,S0,72,lstm,11,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.7385595417022728,3.0,exploratory
final_period,S0,72,lstm,12,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,72,lstm,12,train_q90,8.309000000000006,45,15,8,0.75,0.1509433962264151,0.6617647058823529,0.7964601769911505,1,-0.4843572807312011,12.0,exploratory
final_period,S0,72,lstm,12,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.7643323993682865,3.0,exploratory
final_period,S0,72,lstm,13,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,72,lstm,13,train_q90,8.309000000000006,42,18,8,0.7,0.16,0.6176470588235294,0.7636363636363637,1,-0.5217057609558111,13.0,exploratory
final_period,S0,72,lstm,13,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.7983864498138429,3.0,exploratory
final_period,S0,72,lstm,14,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,72,lstm,14,train_q90,8.309000000000006,37,23,9,0.6166666666666667,0.1956521739130435,0.5362318840579711,0.6981132075471698,1,-0.616308612823488,14.0,exploratory
final_period,S0,72,lstm,14,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.88511694431305,3.0,exploratory
final_period,S0,82,lstm,1,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,1,train_q90,8.309000000000006,59,1,1,0.9833333333333333,0.016666666666666666,0.9672131147540983,0.9833333333333333,1,0.02602841377258258,2.0,exploratory
final_period,S0,82,lstm,1,train_q95,9.508999999999997,13,1,2,0.9285714285714286,0.13333333333333333,0.8125,0.896551724137931,2,0.019070653915405522,2.0,exploratory
final_period,S0,82,lstm,2,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,2,train_q90,8.309000000000006,58,2,2,0.9666666666666667,0.03333333333333333,0.9354838709677419,0.9666666666666667,1,0.02622630119323688,3.0,exploratory
final_period,S0,82,lstm,2,train_q95,9.508999999999997,12,2,4,0.8571428571428571,0.25,0.6666666666666666,0.8,2,0.01975178241729658,3.0,exploratory
final_period,S0,82,lstm,3,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,3,train_q90,8.309000000000006,57,3,3,0.95,0.05,0.9047619047619048,0.95,1,-0.03294757843017493,4.0,exploratory
final_period,S0,82,lstm,3,train_q95,9.508999999999997,4,10,5,0.2857142857142857,0.5555555555555556,0.21052631578947367,0.34782608695652173,2,-0.03821102619171146,4.0,exploratory
final_period,S0,82,lstm,4,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,4,train_q90,8.309000000000006,56,4,4,0.9333333333333333,0.06666666666666667,0.875,0.9333333333333333,1,-0.1403790760040291,5.0,exploratory
final_period,S0,82,lstm,4,train_q95,9.508999999999997,0,14,2,0.0,1.0,0.0,0.0,2,-0.1455570363998424,4.5,exploratory
final_period,S0,82,lstm,5,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,5,train_q90,8.309000000000006,54,6,5,0.9,0.0847457627118644,0.8307692307692308,0.907563025210084,1,-0.16849808692932378,6.0,exploratory
final_period,S0,82,lstm,5,train_q95,9.508999999999997,0,14,2,0.0,1.0,0.0,0.0,2,-0.19251532554626483,4.5,exploratory
final_period,S0,82,lstm,6,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,6,train_q90,8.309000000000006,53,7,5,0.8833333333333333,0.08620689655172414,0.8153846153846154,0.8983050847457628,1,-0.2588313198089587,7.0,exploratory
final_period,S0,82,lstm,6,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.33809358119964816,4.5,exploratory
final_period,S0,82,lstm,7,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,7,train_q90,8.309000000000006,52,8,6,0.8666666666666667,0.10344827586206896,0.7878787878787878,0.8813559322033898,1,-0.27946781158447287,8.0,exploratory
final_period,S0,82,lstm,7,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.4155950021743795,4.5,exploratory
final_period,S0,82,lstm,8,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,8,train_q90,8.309000000000006,50,10,5,0.8333333333333334,0.09090909090909091,0.7692307692307693,0.8695652173913043,1,-0.37852708816528313,9.0,exploratory
final_period,S0,82,lstm,8,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.6122808504104613,4.5,exploratory
final_period,S0,82,lstm,9,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,9,train_q90,8.309000000000006,48,12,6,0.8,0.1111111111111111,0.7272727272727273,0.8421052631578947,1,-0.41765734672546273,10.0,exploratory
final_period,S0,82,lstm,9,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.7231203651428233,3.0,exploratory
final_period,S0,82,lstm,10,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,10,train_q90,8.309000000000006,47,13,7,0.7833333333333333,0.12962962962962962,0.7014925373134329,0.8245614035087719,1,-0.45284410476684656,11.0,exploratory
final_period,S0,82,lstm,10,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.7219500589370726,3.5,exploratory
final_period,S0,82,lstm,11,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,11,train_q90,8.309000000000006,46,14,7,0.7666666666666667,0.1320754716981132,0.6865671641791045,0.8141592920353983,1,-0.5123409366607667,12.0,exploratory
final_period,S0,82,lstm,11,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.770216383934021,2.5,exploratory
final_period,S0,82,lstm,12,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,12,train_q90,8.309000000000006,42,18,8,0.7,0.16,0.6176470588235294,0.7636363636363637,1,-0.5627571105957028,13.0,exploratory
final_period,S0,82,lstm,12,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.8179084396362324,2.5,exploratory
final_period,S0,82,lstm,13,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,13,train_q90,8.309000000000006,43,17,9,0.7166666666666667,0.17307692307692307,0.6231884057971014,0.7678571428571429,1,-0.5549429321289079,14.0,exploratory
final_period,S0,82,lstm,13,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.8081723785400401,2.5,exploratory
final_period,S0,82,lstm,14,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S0,82,lstm,14,train_q90,8.309000000000006,40,20,9,0.6666666666666666,0.1836734693877551,0.5797101449275363,0.7339449541284404,1,-0.6034894657135013,15.0,exploratory
final_period,S0,82,lstm,14,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.8541234207153332,2.5,exploratory
final_period,S4,42,lstm,1,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,1,train_q90,8.309000000000006,60,0,6,1.0,0.09090909090909091,0.9090909090909091,0.9523809523809523,1,0.5127428150176989,0.0,exploratory
final_period,S4,42,lstm,1,train_q95,9.508999999999997,14,0,23,1.0,0.6216216216216216,0.3783783783783784,0.5490196078431373,2,0.5423293209075917,0.0,exploratory
final_period,S4,42,lstm,2,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,2,train_q90,8.309000000000006,60,0,6,1.0,0.09090909090909091,0.9090909090909091,0.9523809523809523,1,0.4528399181365952,1.0,exploratory
final_period,S4,42,lstm,2,train_q95,9.508999999999997,14,0,20,1.0,0.5882352941176471,0.4117647058823529,0.5833333333333334,2,0.4841674375534035,1.0,exploratory
final_period,S4,42,lstm,3,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,3,train_q90,8.309000000000006,60,0,4,1.0,0.0625,0.9375,0.967741935483871,1,0.3802524375915528,2.0,exploratory
final_period,S4,42,lstm,3,train_q95,9.508999999999997,14,0,15,1.0,0.5172413793103449,0.4827586206896552,0.6511627906976745,2,0.4131215000152588,1.5,exploratory
final_period,S4,42,lstm,4,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,4,train_q90,8.309000000000006,60,0,4,1.0,0.0625,0.9375,0.967741935483871,1,0.32617059707641616,3.0,exploratory
final_period,S4,42,lstm,4,train_q95,9.508999999999997,14,0,15,1.0,0.5172413793103449,0.4827586206896552,0.6511627906976745,2,0.36393856048583917,2.5,exploratory
final_period,S4,42,lstm,5,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,5,train_q90,8.309000000000006,59,1,5,0.9833333333333333,0.078125,0.9076923076923077,0.9516129032258065,1,0.2584004878997792,4.0,exploratory
final_period,S4,42,lstm,5,train_q95,9.508999999999997,14,0,14,1.0,0.5,0.5,0.6666666666666666,2,0.29880747795104856,3.5,exploratory
final_period,S4,42,lstm,6,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,6,train_q90,8.309000000000006,58,2,5,0.9666666666666667,0.07936507936507936,0.8923076923076924,0.943089430894309,1,0.17692548751831083,5.0,exploratory
final_period,S4,42,lstm,6,train_q95,9.508999999999997,13,1,14,0.9285714285714286,0.5185185185185185,0.4642857142857143,0.6341463414634146,2,0.21794513702392582,4.5,exploratory
final_period,S4,42,lstm,7,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,7,train_q90,8.309000000000006,57,3,6,0.95,0.09523809523809523,0.8636363636363636,0.926829268292683,1,0.06779057502746433,6.0,exploratory
final_period,S4,42,lstm,7,train_q95,9.508999999999997,7,7,14,0.5,0.6666666666666666,0.25,0.4,2,0.07954979896545211,4.5,exploratory
final_period,S4,42,lstm,8,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,8,train_q90,8.309000000000006,55,5,7,0.9166666666666666,0.11290322580645161,0.8208955223880597,0.9016393442622951,1,-0.0011312389373792087,7.0,exploratory
final_period,S4,42,lstm,8,train_q95,9.508999999999997,4,10,11,0.2857142857142857,0.7333333333333333,0.16,0.27586206896551724,2,-0.018542995452880184,4.5,exploratory
final_period,S4,42,lstm,9,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,42,lstm,9,train_q90,8.309000000000006,54,6,7,0.9,0.11475409836065574,0.8059701492537313,0.8925619834710744,1,-0.05299515724182413,8.0,exploratory
final_period,S4,42,lstm,9,train_q95,9.508999999999997,0,14,11,0.0,1.0,0.0,0.0,2,-0.16415687084198094,4.5,exploratory
final_period,S4,42,lstm,10,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
